distance,width,speed,crowd_level,time
120.4000000000002,1.0,1.4,1,86
103.54961536185448,1.0,1.7,1,61
95.0,1.0,1.0,1,95
85.0,1.0,1.0,1,85
62.0,1.0,1.0,1,62
61.41421356237309,1.0,1.5,1,41
55.00000000000004,1.0,1.1,1,50
53.90000000000004,1.0,1.1,1,49
39.0248076809272,1.0,1.7,1,23
32.072613634390706,1.0,1.2,1,27
22.22449979983985,1.0,0.8,1,28
22.22449979983985,1.0,0.8,1,28
21.72449979983985,1.0,1.6,1,17
18.62480768092719,1.0,1.7,1,11
18.200000000000003,1.0,1.3,1,14
10.8,1.0,1.2,1,9
86.91421356237309,1.0,1.5,1,58
84.00000000000004,1.0,1.4,1,60
56.69999999999994,1.0,0.9,1,63
37.0,1.0,1.0,1,37
29.399999999999988,1.0,1.4,1,21
14.299999999999995,1.0,1.1,1,13
13.199999999999998,1.0,1.2,1,11
6.300000000000001,1.0,0.9,1,7
157.84961536185432,1.0,1.7,1,94
143.82842712474618,1.0,1.5,1,96
120.0000000000002,1.0,1.2,1,100
118.6992307237089,1.0,1.7,1,70
94.86602540378443,1.0,1.0,1,95
89.58136476990889,1.0,1.4,1,67
88.20000000000007,1.0,0.9,1,98
85.86602540378443,1.0,1.0,1,86
83.70000000000005,1.0,0.9,1,93
82.24264068711928,1.0,1.5,1,55
78.30000000000001,1.0,0.9,1,87
78.09999999999998,1.0,1.1,1,71
74.82842712474618,1.0,1.5,1,50
67.24781673011375,1.0,1.7,1,41
66.92300904918658,1.0,1.4,1,48
64.90000000000005,1.0,1.1,1,59
61.60000000000005,1.0,1.1,1,56
61.10000000000005,1.0,1.7,1,37
60.79999999999991,1.0,0.8,1,76
55.92753809841924,1.0,1.6,1,36
55.90766968306217,1.0,1.4,1,40
54.59999999999996,1.0,1.3,1,42
52.800000000000026,1.0,1.6,1,33
46.800000000000026,1.0,1.2,1,39
44.799999999999976,1.0,1.4,1,32
37.41421356237309,1.0,1.5,1,25
37.2,1.0,1.2,1,31
25.300000000000008,1.0,1.1,1,23
24.29999999999999,1.0,0.9,1,27
24.2076696830622,1.0,1.4,1,20
22.31986841535707,1.0,1.6,1,14
19.500000000000004,1.0,1.3,1,15
16.900000000000002,1.0,1.3,1,13
6.0,1.0,1.0,1,6
5.6,1.0,0.8,1,7
2.4,1.0,1.2,1,2
166.5248076809271,1.0,1.7,1,98
134.40000000000023,1.0,1.4,1,96
129.99999999999983,1.0,1.3,1,100
129.6340148370083,1.0,1.7,1,77
128.82842712474618,1.0,1.5,1,86
120.01567889239092,1.0,1.7,1,74
112.41421356237308,1.0,1.5,1,75
110.40000000000018,1.0,1.2,1,92
102.98174242292728,1.0,1.2,1,86
100.9595917942264,1.0,1.1,1,92
100.41421356237308,1.0,1.5,1,67
95.0,1.0,1.0,1,95
72.60000000000001,1.0,1.1,1,66
67.99999999999989,1.0,0.8,1,85
66.87261363439077,1.0,1.2,1,56
66.0,1.0,1.0,1,66
64.86602540378443,1.0,1.0,1,65
51.99999999999994,1.0,0.8,1,65
51.29999999999995,1.0,0.9,1,57
50.39999999999997,1.0,1.4,1,36
47.91421356237309,1.0,1.5,1,32
42.0,1.0,1.0,1,42
38.0,1.0,1.0,1,38
31.10000000000001,1.0,1.3,1,24
31.0,1.0,1.0,1,31
28.5,1.0,1.5,1,19
15.399999999999997,1.0,1.1,1,14
14.399999999999997,1.0,1.2,1,12
8.4,1.0,1.4,1,6
7.424807680927193,1.0,1.7,1,5
7.200000000000001,1.0,0.9,1,8
3.0,1.0,1.0,1,3
2.4000000000000004,1.0,0.8,1,3
1.3,1.0,1.3,1,1
148.79999999999973,1.0,1.6,1,93
145.59999999999974,1.0,1.6,1,91
163.12480768092712,1.0,1.7,1,96
145.32842712474618,1.0,1.5,1,97
128.69999999999982,1.0,1.3,1,99
118.46162007614925,1.0,1.6,1,75
118.29999999999984,1.0,1.3,1,91
114.82188324543527,1.0,1.5,1,77
109.01533936612456,1.0,1.4,1,78
100.80000000000015,1.0,1.2,1,84
100.41533936612456,1.0,1.4,1,72
